iter	Passed	Remaining
0	0	66
1	1	60
2	1	60
3	2	59
4	3	59
5	3	58
6	4	58
7	5	58
8	5	57
9	6	56
10	6	56
11	7	55
12	8	55
13	9	55
14	9	56
15	10	56
16	11	56
17	12	55
18	12	55
19	13	54
20	14	53
21	14	52
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	48
29	20	47
30	21	46
31	21	46
32	22	46
33	23	45
34	24	45
35	25	45
36	26	44
37	27	44
38	27	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	37	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	52	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
